epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,860,0.96614,0.4466,0.94335,0.94539,0.94881,0.97545,0.64055,1.33708,0.52154,1.0727,0.000466997,0.000466997,0.000466997
70,872.363,0.97488,0.44926,0.94391,0.94776,0.95518,0.97668,0.63845,1.3407,0.51969,1.06966,0.00045285,0.00045285,0.00045285
71,881.48,0.96229,0.44803,0.94024,0.95074,0.96111,0.97585,0.63759,1.32747,0.51453,1.07435,0.000438703,0.000438703,0.000438703
72,891.983,0.9396,0.43871,0.9261,0.96064,0.95815,0.98059,0.65145,1.3133,0.50928,1.0661,0.000424556,0.000424556,0.000424556
73,902.83,0.95412,0.43945,0.95068,0.95331,0.95375,0.97645,0.65314,1.32703,0.50944,1.06566,0.000410409,0.000410409,0.000410409
74,911.396,0.93449,0.43227,0.93024,0.95912,0.95778,0.98314,0.64338,1.31933,0.5099,1.07017,0.000396262,0.000396262,0.000396262
75,926.299,0.93602,0.43479,0.94289,0.95244,0.94134,0.98291,0.64877,1.31976,0.51507,1.07646,0.000382115,0.000382115,0.000382115
76,935.461,0.9043,0.42214,0.92048,0.94999,0.93464,0.9698,0.64048,1.32461,0.51722,1.07248,0.000367967,0.000367967,0.000367967
77,948.853,0.93687,0.4333,0.93629,0.94943,0.93521,0.97872,0.6391,1.32499,0.51576,1.07635,0.00035382,0.00035382,0.00035382
78,961.243,0.91566,0.42979,0.9301,0.94867,0.95375,0.97901,0.63648,1.31524,0.51304,1.07472,0.000339673,0.000339673,0.000339673
79,970.829,0.9072,0.43286,0.92634,0.94614,0.95173,0.97602,0.63759,1.31838,0.50842,1.07279,0.000325526,0.000325526,0.000325526
80,981.641,0.89583,0.4224,0.92647,0.94187,0.9398,0.97646,0.6435,1.31705,0.51382,1.07166,0.000311379,0.000311379,0.000311379
81,990.824,0.90375,0.42631,0.91541,0.97446,0.92006,0.97039,0.64186,1.31212,0.51589,1.07134,0.000297232,0.000297232,0.000297232
82,1004.45,0.86603,0.4129,0.93129,0.97148,0.92409,0.96751,0.64386,1.29926,0.51599,1.06544,0.000283085,0.000283085,0.000283085
